City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
455,ondjiva,-17.0667,15.7333,25.39,11,11,7,AO,2023-06-13 09:35:05
456,labrador city,52.9463,-66.9114,3.95,100,100,0,CA,2023-06-13 09:35:05
457,kusa,55.3383,59.4406,18.64,25,25,0,RU,2023-06-13 09:35:05
458,auki,-8.7676,160.7034,26.16,87,87,6,SB,2023-06-13 09:29:38
459,happy valley-goose bay,53.3168,-60.3315,11.17,62,62,100,CA,2023-06-13 09:35:06
460,nyrob,60.733,56.7202,20.73,44,44,98,RU,2023-06-13 09:35:06
461,twin falls,42.3505,-114.6445,14.19,77,77,0,US,2023-06-13 09:35:07
462,comblain-au-pont,50.4749,5.5771,26.51,38,38,8,BE,2023-06-13 09:35:07
463,dzhubga,44.3211,38.7039,25.0,70,70,98,RU,2023-06-13 09:34:36
464,"laikit, laikit ii (dimembe)",1.4792,124.9735,24.47,89,89,40,ID,2023-06-13 09:35:07
465,saldanha,-33.0117,17.9442,15.03,82,82,100,ZA,2023-06-13 09:29:17
466,riohacha,11.5444,-72.9072,27.17,81,81,96,CO,2023-06-13 09:35:08
467,margate,51.3813,1.3862,22.72,72,72,0,GB,2023-06-13 09:34:19
468,qala i naw,34.9874,63.1289,36.36,11,11,0,AF,2023-06-13 09:35:09
469,srivardhan,18.0333,73.0167,30.87,70,70,3,IN,2023-06-13 09:35:09
470,revda,56.801,59.9303,18.82,28,28,0,RU,2023-06-13 09:34:37
471,i-n-salah,27.1935,2.4607,41.64,5,5,7,DZ,2023-06-13 09:35:09
472,balykshi,47.0667,51.8667,38.0,9,9,0,KZ,2023-06-13 09:35:10
473,sumbe,-11.2061,13.8437,25.1,67,67,85,AO,2023-06-13 09:35:10
474,bojnurd,37.4747,57.329,31.97,20,20,20,IR,2023-06-13 09:35:10
475,rio linda,38.691,-121.4486,17.65,80,80,0,US,2023-06-13 09:35:11
476,paciran,-6.8767,112.3761,28.76,72,72,76,ID,2023-06-13 09:35:11
477,fort st. john,56.2499,-120.8529,12.94,67,67,100,CA,2023-06-13 09:30:02
478,san martin de los andes,-40.1604,-71.3486,-1.86,94,94,15,AR,2023-06-13 09:35:12
479,george town,5.4112,100.3354,32.96,70,70,40,MY,2023-06-13 09:35:12
480,yanam,16.7333,82.2167,42.03,25,25,50,IN,2023-06-13 09:35:12
481,yekaterinoslavka,50.3734,129.1139,23.3,72,72,100,RU,2023-06-13 09:35:12
482,kodinsk,58.6881,99.1844,19.29,47,47,71,RU,2023-06-13 09:35:13
483,kentville,45.0835,-64.4988,14.11,95,95,61,CA,2023-06-13 09:35:13
484,shortandy,51.7006,70.9994,14.25,65,65,88,KZ,2023-06-13 09:35:13
485,suva,-18.1416,178.4415,22.71,100,100,75,FJ,2023-06-13 09:35:13
486,kwang binh,17.4833,106.6,30.68,68,68,100,VN,2023-06-13 09:35:14
487,tidjikja,18.5564,-11.4271,35.26,13,13,58,MR,2023-06-13 09:35:14
488,konarka,19.9,86.1167,31.22,57,57,86,IN,2023-06-13 09:35:14
489,rudnichnyy,59.617,52.4703,20.69,45,45,30,RU,2023-06-13 09:35:15
490,dinard,48.6314,-2.0614,21.83,93,93,100,FR,2023-06-13 09:31:58
491,kenai,60.5544,-151.2583,7.3,80,80,20,US,2023-06-13 09:35:15
492,el rama,12.1596,-84.2195,23.54,98,98,99,NI,2023-06-13 09:35:15
493,langxiang,46.95,128.8833,20.04,73,73,60,CN,2023-06-13 09:35:16
494,bandon,51.7469,-8.7425,19.77,87,87,100,IE,2023-06-13 09:31:27
495,isangel,-19.55,169.2667,23.06,73,73,40,VU,2023-06-13 09:35:16
